# ${u@U} の結果
# $1=長さ $2=bash-old $3=bash-new
100          26.691      26.230
200          52.196      50.914
500         138.227     128.264
1000        290.174     246.849
2000        666.023     488.011
5000       2651.738    1196.733
10000      8428.290    2530.564
20000     30095.440    5198.995
50000    242498.800   13063.940
100000  1085548.800   25857.540
200000  4316683.800   52289.950
500000 26734136.800  130611.900
